"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"166","Freddie Hubbard","Dolphin Dance","tp","Postbop","1966","118.9",421,"Score","JazzTube","tp"
"167","Freddie Hubbard","Down Under","tp","Hardbop","1961","146.1",110,"Score","JazzTube","tp"
"168","Freddie Hubbard","Maiden Voyage","tp","Postbop","1965","126.0",552,"Score","JazzTube","tp"
"169","Freddie Hubbard","Society Red","tp","Hardbop","1961","113.6",449,"Score","JazzTube","tp"
"170","Freddie Hubbard","Speak No Evil","tp","Postbop","1964","143.2",251,"Score","JazzTube","tp"
"171","George Coleman","Maiden Voyage","ts","Postbop","1965","125.4",224,"Score","JazzTube","ts"
"172","Gerry Mulligan","Bunny","bs","Cool","1959","115.2",231,"Score","JazzTube","bs"
"173","Gerry Mulligan","Line for Lyons","bs","Cool","1957","173.1",198,"Score","JazzTube","bs"
"174","Gerry Mulligan","Scrapple from the Apple","bs","Cool","1957","252.0",671,"Score","JazzTube","bs"
"175","Gerry Mulligan","The Red Door","bs","Cool","1960","236.4",359,"Score","JazzTube","bs"
"176","Gerry Mulligan","This Can’t Be Love","bs","Cool","1957","269.1",960,"Score","JazzTube","bs"
"177","Gerry Mulligan","Walking Shoes","bs","Cool","1952","137.2",202,"Score","JazzTube","bs"
"178","Hank Mobley","Doodlin’","ts","Hardbop","1954","121.3",283,"Score","JazzTube","ts"
"179","Hank Mobley","Lady Bird","ts","Hardbop","1955","220.7",499,"Score","JazzTube","ts"
"180","Hank Mobley","Remember","ts","Hardbop","1960","165.9",633,"Score","JazzTube","ts"
"181","Hank Mobley","Soul Station","ts","Hardbop","1960","101.6",703,"Score","JazzTube","ts"
"182","Harry Edison","Did You Call Her Today","tp","Swing","1962","118.5",366,"Score","JazzTube","tp"
"183","Henry Allen","Baby Won’t You Please Come Home","tp","Traditional","1941","211.5",156,"Score","JazzTube","tp"
"184","Herbie Hancock","Agitation","p","Postbop","1965","293.8",343,"Score","JazzTube","p"
"185","Herbie Hancock","Dolores","p","Postbop","1966","282.3",613,"Score","JazzTube","p"
"186","Herbie Hancock","Gingerbread Boy","p","Postbop","1966","285.8",708,"Score","JazzTube","p"
"187","Herbie Hancock","Hand Jive","p","Postbop","1967","262.1",642,"Score","JazzTube","p"
"188","Herbie Hancock","Orbits","p","Postbop","1966","264.9",463,"Score","JazzTube","p"
"189","J.C. Higginbotham","Baby Won’t You Please Come Home","tb","Traditional","1941","209.5",170,"Score","JazzTube","tb"
"190","J.J. Johnson","Blue Mode","tb","Bebop","1949","64.1",222,"Score","JazzTube","tb"
"191","J.J. Johnson","Blues in the Closet","tb","Bebop","1957","234.4",812,"Score","JazzTube","tb"
"192","J.J. Johnson","Crazy Rhythm","tb","Bebop","1957","277.3",611,"Score","JazzTube","tb"
"193","J.J. Johnson","Elora","tb","Bebop","1949","196.9",140,"Score","JazzTube","tb"
"194","J.J. Johnson","My Funny Valentine","tb","Bebop","1957","133.3",365,"Score","JazzTube","tb"
"195","J.J. Johnson","Teapot","tb","Bebop","1949","315.2",251,"Score","JazzTube","tb"
"196","J.J. Johnson","Walkin’","tb","Hardbop","1954","127.9",434,"Score","JazzTube","tb"
"197","J.J. Johnson","Yesterdays","tb","Bebop","1957","125.1",489,"Score","JazzTube","tb"
"198","Joe Henderson","In ‘n Out","ts","Postbop","1964","276.7",1121,"Score","JazzTube","ts"
"199","Joe Henderson","In ‘n Out (2)","ts","Postbop","1964","299.5",517,"Score","JazzTube","ts"
"200","Joe Henderson","Johnny Come Lately","ts","Postbop","1991","247.6",607,"Score","JazzTube","ts"
"201","Joe Henderson","Punjab","ts","Postbop","1964","160.1",716,"Score","JazzTube","ts"
"202","Joe Henderson","Serenity","ts","Postbop","1964","157.3",542,"Score","JazzTube","ts"
"203","Joe Henderson","The Sidewinder","ts","Postbop","1963","153.5",536,"Score","JazzTube","ts"
"204","Joe Henderson","Totem Pole","ts","Postbop","1963","137.6",562,"Score","JazzTube","ts"
"205","Joe Henderson","U.M.M.G.","ts","Postbop","1991","219.2",329,"Score","JazzTube","ts"
"206","Joe Lovano","Body and Soul","ts","Postbop","1991","60.5",986,"Score","JazzTube","ts"
"207","Joe Lovano","Body and Soul (2)","ts","Postbop","1991","59.6",208,"Score","JazzTube","ts"
"208","Joe Lovano","Central Park West","ts","Postbop","1991","62.6",712,"Score","JazzTube","ts"
"209","Joe Lovano","Con Alma","ts","Postbop","1993","124.6",368,"Score","JazzTube","ts"
"210","Joe Lovano","I Can’t Get Started","ts-c","Postbop","1994","106.8",941,"Score","JazzTube","ts-c"
"211","Joe Lovano","Little Willie Leaps in","ts","Postbop","1994","303.7",1427,"Score","JazzTube","ts"
"212","Joe Lovano","Lonnie’s Lament","ts","Postbop","1994","201.0",862,"Score","JazzTube","ts"
"213","Joe Lovano","Work","ss","Postbop","1991","208.7",600,"Score","JazzTube","ss"
